phase,activity,input_tokens,output_tokens,ai_cost_usd,human_hours_ai,human_hours_review,counterfactual_profile,counterfactual_hours,hourly_rate_usd,counterfactual_cost_usd
Pre-proposal,Domain analysis and selection (10 domains),8000,6000,0.12,0.5,0.5,Mid-level,6,6.67,40.02
Pre-proposal,Project structure and reference architecture,5000,12000,0.22,1.0,0.5,Senior,8,10.88,87.04
Pre-proposal,Production-ready best-practices research,4000,15000,0.28,0.5,0.3,Senior,5,10.88,54.40
Pre-proposal,Product vision and market flow,3000,10000,0.18,0.5,0.2,Mid-level,4,6.67,26.68
Pre-proposal,Proposal document writing,6000,8000,0.16,1.0,1.0,Mid-level,6,6.67,40.02
Pre-proposal,Workflow document writing,4000,6000,0.12,0.5,0.5,Junior,2,3.86,7.72
P1,SPEC-0001 Monolith foundation (backend + Docker + frontend base),35000,45000,3.9,2.0,1.0,Senior,16,10.88,174.08
P1,"SPEC-0002 Repo index & RAG (embedding, chunking, retrieval, chat)",30000,40000,3.45,,,Senior,20,10.88,217.60
P1,"SPEC-0003 Guided tour (scoring, persistence, step viewer)",25000,35000,3.0,1.5,0.5,Senior,16,10.88,174.08
P1,"SPEC-0004 Module dependency visualization (AST, graph, frontend)",20000,30000,2.55,1.0,0.5,Senior,14,10.88,152.32
P1,"SPEC-0005 Commit history intelligence (ingest, classify, timeline)",25000,35000,3.0,1.5,0.5,Senior,16,10.88,174.08
P1,"SPEC-0006 Onboarding metrics & evaluation (KPIs, dashboard)",18000,28000,2.37,1.0,0.3,Mid-level,12,6.67,80.04
P1,"SPEC-0007 Auth & onboarding sessions (auth, sessions, checkpoints)",15000,25000,2.1,0.5,0.3,Mid-level,10,6.67,66.70
P1,SPEC-0008 Observability & operational readiness,18000,28000,2.37,0.5,0.3,Senior,12,10.88,130.56
P1,"Test suites (unit + integration + E2E, all specs)",,,,,,Mid-level,20,6.67,133.40
P2,Async indexing bug diagnosis & fix (background tasks),12000,8000,0.14,0.5,0.3,Senior,4,10.88,43.52
P2,Embedding API investigation + external integration,18000,12000,0.21,1.0,0.5,Senior,6,10.88,65.28
P2,Embeddings implementation + settings refactor,20000,15000,0.26,,,,,,
P2,Concurrency optimization (thread pool),15000,10000,0.18,0.5,0.3,Senior,4,10.88,43.52
P2,Language registry expansion (9 new languages),10000,12000,0.17,0.5,0.2,Mid-level,3,6.67,20.01
P2,Embedding performance benchmark,8000,5000,0.09,,,Mid-level,2,6.67,13.34
P2,Docker cleanup + operational support,5000,3000,0.06,0.3,0.1,,,,
P3,Collapsible sidebar navigation refactor,25000,20000,0.37,1.0,0.5,Mid-level,6,6.67,40.02
P3,Dark mode (utility-CSS) across components,,,,,,Mid-level,4,6.67,26.68
P3,Markdown renderer + editor-style syntax highlighting,20000,18000,0.33,,,Senior,8,10.88,87.04
P3,Duplicated-code debugging & cleanup,15000,10000,0.22,0.5,0.3,,,,
P3,Security audit + env-var hardening,12000,8000,0.16,0.3,0.2,Senior,3,10.88,32.64
P3,LLM model switching + tests,5000,3000,0.06,,,,,,
P3,Documentation (3 documents),15000,25000,0.42,0.5,0.5,Mid-level,6,6.67,40.02
P4,Backend: audit repository + middleware,25000,20000,0.37,1.5,0.5,Senior,8,10.88,87.04
P4,Backend: webhook repository + controller (HMAC),28000,22000,0.41,,,Senior,10,10.88,108.80
P4,Backend: watchlist repository + notification service,22000,18000,0.33,,,Senior,8,10.88,87.04
P4,Backend: architecture drift service + snapshots + diff,30000,25000,0.47,,,Senior,10,10.88,108.80
P4,Backend: LLM diff-interpretation endpoint,15000,10000,0.2,,,Mid-level,3,6.67,20.01
P4,Frontend: drift tab (date selection + AI interpret),40000,30000,0.56,1.5,0.7,Mid-level,8,6.67,53.36
P4,Frontend: watchlist tab,25000,20000,0.37,,,Mid-level,5,6.67,33.35
P4,Frontend: admin tab (audit log + webhooks sections),35000,25000,0.48,,,Mid-level,8,6.67,53.36
P4,Frontend: app wiring + global auth injection,20000,12000,0.24,,,Mid-level,3,6.67,20.01
P4,"Debugging (parser errors, duplicate code, theme fixes)",40000,18000,0.39,0.5,0.3,,,,
P4,Documentation update (MD files),30000,20000,0.44,0.3,0.5,Mid-level,4,6.67,26.68
Quality-improvements,Hotspots tab full rewrite (interactive SVG bubble chart),55000,30000,0.62,0.5,0.3,Senior,12,10.88,130.56
Quality-improvements,Tech-debt deep analysis + LLM analysis-prompt design,40000,22000,0.45,0.3,0.2,Senior,4,10.88,43.52
Quality-improvements,Tech-debt backend v2 (5 metrics + trend + endpoint),50000,28000,0.57,0.5,0.3,Senior,10,10.88,108.80
Quality-improvements,Tech-debt tab frontend rewrite (5 components + SVG charts),35000,25000,0.48,,,Mid-level,10,6.67,66.70
Quality-improvements,Unit tests (~80 tests across 5 files),30000,18000,0.36,0.3,0.2,Mid-level,8,6.67,53.36
Quality-improvements,Duplicate-declaration fix + debugging,8000,4000,0.08,0.2,0.2,Mid-level,1,6.67,6.67
Quality-improvements,Documentation update (4 MD files + analysis prompt),28000,18000,0.35,,,Mid-level,4,6.67,26.68
